"","Date","Price","Volume"
"1","2016-01-01",433.98999,20334286
"2","2016-01-02",433.720001,14566820
"3","2016-01-03",430.700012,23490162
"4","2016-01-04",433.320007,22943968
"5","2016-01-05",431.200012,19499588
"6","2016-01-06",430.820007,18702334
"7","2016-01-07",457.049988,58253615
"8","2016-01-08",452.869995,41594025
"9","2016-01-09",448.309998,17967113
"10","2016-01-10",446.190002,19778456
"11","2016-01-11",447.720001,25358480
"12","2016-01-12",445.040009,19913400
"13","2016-01-13",432.179993,39525195
"14","2016-01-14",429.130005,19948730
"15","2016-01-15",372.26001,107060613
"16","2016-01-16",385.040009,68297105
"17","2016-01-17",382.470001,25464382
"18","2016-01-18",384.399994,26546465
"19","2016-01-19",379.459991,25417876
"20","2016-01-20",414.579987,76873917
"21","2016-01-21",410.23999,37264942
"22","2016-01-22",382.649994,56548790
"23","2016-01-23",388.609985,23908533
"24","2016-01-24",402.130005,25770175
"25","2016-01-25",392.76001,26793044
"26","2016-01-26",389.779999,22384754
"27","2016-01-27",395.019989,17297117
"28","2016-01-28",379.690002,29717813
"29","2016-01-29",380.290009,51927041
"30","2016-01-30",377.76001,13720656
"31","2016-01-31",369.839996,14718855
"32","2016-02-01",372.179993,27728088
"33","2016-02-02",373.920013,19123252
"34","2016-02-03",368.019989,22266682
"35","2016-02-04",390.649994,38961905
"36","2016-02-05",386.459991,23688228
"37","2016-02-06",376.679993,29801286
"38","2016-02-07",377.940002,15395728
"39","2016-02-08",372.630005,23424062
"40","2016-02-09",375.320007,20801701
"41","2016-02-10",381.880005,37137791
"42","2016-02-11",379.450012,23858467
"43","2016-02-12",384.040009,20685663
"44","2016-02-13",390.100006,18757146
"45","2016-02-14",405.5,29442484
"46","2016-02-15",401.070007,34862753
"47","2016-02-16",406.420013,27726590
"48","2016-02-17",417.140015,37559686
"49","2016-02-18",421.399994,32541108
"50","2016-02-19",419.980011,21991480
"51","2016-02-20",440.059998,48500793
"52","2016-02-21",437.869995,44120520
"53","2016-02-22",437.790009,24563748
"54","2016-02-23",419.899994,39915706
"55","2016-02-24",422.720001,28041199
"56","2016-02-25",423.480011,22692099
"57","2016-02-26",427.320007,22642013
"58","2016-02-27",431.299988,18543436
"59","2016-02-28",432.470001,21876091
"60","2016-02-29",436.209991,30077319
"61","2016-03-01",434.040009,29312670
"62","2016-03-02",425.359985,24894311
"63","2016-03-03",419.559998,33188751
"64","2016-03-04",409.480011,31416610
"65","2016-03-05",399,51725937
"66","2016-03-06",405.959991,25324456
"67","2016-03-07",414.869995,25349627
"68","2016-03-08",411.899994,22204517
"69","2016-03-09",412.76001,21035428
"70","2016-03-10",415.829987,23114636
"71","2016-03-11",419.109985,25469781
"72","2016-03-12",410.359985,24660321
"73","2016-03-13",412.410004,14457108
"74","2016-03-14",414.309998,20471909
"75","2016-03-15",415.130005,20227610
"76","2016-03-16",415.910004,18509954
"77","2016-03-17",418.160004,18409340
"78","2016-03-18",408.160004,27178165
"79","2016-03-19",408.690002,15084656
"80","2016-03-20",411.529999,12577521
"81","2016-03-21",411.109985,17735457
"82","2016-03-22",416.209991,20425092
"83","2016-03-23",416.980011,16946522
"84","2016-03-24",414.73999,16210672
"85","2016-03-25",415.709991,14431200
"86","2016-03-26",416.51001,11696306
"87","2016-03-27",424.570007,26137150
"88","2016-03-27",422.209991,18410749
"89","2016-03-28",415,28765857
"90","2016-03-29",412.440002,17890792
"91","2016-03-30",415.660004,17407273
"92","2016-03-31",415.640015,15852511
"93","2016-04-01",418.51001,13137339
"94","2016-04-02",419.059998,9591214
"95","2016-04-03",419.329987,14031939
"96","2016-04-04",422.070007,17260368
"97","2016-04-05",421.26001,13836754
"98","2016-04-06",420.140015,15200495
"99","2016-04-07",417.690002,19810838
"100","2016-04-08",418.049988,12291880
"101","2016-04-09",420.25,9806327
"102","2016-04-10",421.429993,15374195
"103","2016-04-11",424.73999,24580503
"104","2016-04-12",423.470001,16183793
"105","2016-04-13",424.019989,13038970
"106","2016-04-14",428.670013,23214560
"107","2016-04-15",430.049988,12517265
"108","2016-04-16",426.26001,10980868
"109","2016-04-17",427.690002,13951524
"110","2016-04-18",434.920013,19713466
"111","2016-04-19",441.160004,32655415
"112","2016-04-20",449.339996,28168774
"113","2016-04-21",445.279999,22225157
"114","2016-04-22",450.079987,18998211
"115","2016-04-23",457.559998,33984269
"116","2016-04-24",461.730011,37614684
"117","2016-04-25",466,31451239
"118","2016-04-26",447.01001,41539684
"119","2016-04-27",448.480011,36369788
"120","2016-04-28",454.980011,20264761
"121","2016-04-29",448.529999,15994805
"122","2016-04-30",452.23999,9838490
"123","2016-05-01",444.179993,32863011
"124","2016-05-02",450.269989,22292253
"125","2016-05-03",445.799988,17676609
"126","2016-05-04",448.079987,18765369
"127","2016-05-05",459.559998,31122708
"128","2016-05-06",458.459991,14247601
"129","2016-05-07",457.869995,12689581
"130","2016-05-08",460.440002,22322043
"131","2016-05-09",449.359985,27247925
"132","2016-05-10",452.5,18137209
"133","2016-05-11",454.429993,22252919
"134","2016-05-12",455.410004,14768796
"135","2016-05-13",456.440002,9319128
"136","2016-05-14",458.109985,9745309
"137","2016-05-15",454.869995,16731954
"138","2016-05-16",453.25,15741822
"139","2016-05-17",454.220001,14884550
"140","2016-05-18",442.660004,26626097
"141","2016-05-19",442.109985,21415312
"142","2016-05-20",443.640015,10213550
"143","2016-05-21",439.619995,12691382
"144","2016-05-22",443.690002,15885933
"145","2016-05-23",446.109985,14837671
"146","2016-05-24",449.779999,16954105
"147","2016-05-25",453.299988,17093327
"148","2016-05-26",474.049988,63894987
"149","2016-05-27",524.219971,75400711
"150","2016-05-28",516.049988,80753301
"151","2016-05-29",532.26001,41433165
"152","2016-05-30",528.919983,60896411
"153","2016-05-31",537.400024,38742660
"154","2016-06-01",537.099976,28380698
"155","2016-06-02",567.030029,59464310
"156","2016-06-03",571.950012,50353517
"157","2016-06-04",574.909973,37233994
"158","2016-06-05",583.580017,37131086
"159","2016-06-06",575.580017,49082472
"160","2016-06-07",580.51001,28706216
"161","2016-06-08",574.690002,28010575
"162","2016-06-09",577.890015,26290866
"163","2016-06-10",591.599976,24790441
"164","2016-06-11",666.549988,139684630
"165","2016-06-12",700.070007,149442548
"166","2016-06-13",685.140015,92458349
"167","2016-06-14",690.77002,53863568
"168","2016-06-15",761.210022,169704647
"169","2016-06-16",743.900024,160302360
"170","2016-06-17",753.77002,91056993
"171","2016-06-18",761.039978,45805980
"172","2016-06-19",733.969971,83637617
"173","2016-06-20",667.380005,166828425
"174","2016-06-21",590.559998,129550795
"175","2016-06-22",620.840027,154289129
"176","2016-06-23",656.890015,128990817
"177","2016-06-24",663.52002,67442141
"178","2016-06-25",625.409973,56403088
"179","2016-06-26",644.659973,63747137
"180","2016-06-27",644.890015,49673830
"181","2016-06-28",636.539978,50898093
"182","2016-06-29",670.02002,58215062
"183","2016-06-30",674.570007,62394480
"184","2016-07-01",698.059998,46555796
"185","2016-07-02",661.640015,66591456
"186","2016-07-03",675.159973,42756935
"187","2016-07-04",663.669983,36687264
"188","2016-07-05",672.700012,31708100
"189","2016-07-06",635.25,97639342
"190","2016-07-07",662.780029,49243011
"191","2016-07-08",651.830017,62061207
"192","2016-07-09",647.109985,18955766
"193","2016-07-10",646.710022,29925667
"194","2016-07-11",670.559998,44047499
"195","2016-07-12",661.150024,41791464
"196","2016-07-13",657.25,31748496
"197","2016-07-14",664.200012,23817856
"198","2016-07-15",660.690002,13557557
"199","2016-07-16",676.330017,31614610
"200","2016-07-17",670.380005,28810844
"201","2016-07-18",671.099976,20401885
"202","2016-07-19",664.400024,25075066
"203","2016-07-20",664.619995,21351309
"204","2016-07-21",651.109985,43283429
"205","2016-07-22",655.159973,19544654
"206","2016-07-23",659.289978,19642346
"207","2016-07-24",654,22564554
"208","2016-07-25",654.380005,32177578
"209","2016-07-26",654.539978,19568531
"210","2016-07-27",654.130005,18452583
"211","2016-07-28",655.429993,17757920
"212","2016-07-29",654.73999,12721755
"213","2016-07-30",621.869995,39918066
"214","2016-07-31",607,41229298
"215","2016-08-01",513.429993,75338595
"216","2016-08-02",566.440002,47170751
"217","2016-08-03",576.219971,25725471
"218","2016-08-04",574.659973,15992890
"219","2016-08-05",586.450012,14676841
"220","2016-08-06",590.849976,15491523
"221","2016-08-07",589.23999,14726811
"222","2016-08-08",585.25,15304277
"223","2016-08-09",590.940002,29376783
"224","2016-08-10",587.840027,23640952
"225","2016-08-11",587.140015,15009452
"226","2016-08-12",584.590027,11357750
"227","2016-08-13",569.059998,18970094
"228","2016-08-14",566.950012,19218972
"229","2016-08-15",580.190002,21634083
"230","2016-08-16",572.340027,18886741
"231","2016-08-17",573.390015,17509679
"232","2016-08-18",574.559998,14701426
"233","2016-08-19",582.609985,13416843
"234","2016-08-20",580.659973,8294321
"235","2016-08-21",587.469971,19658058
"236","2016-08-22",583.559998,18772369
"237","2016-08-23",579.659973,16337141
"238","2016-08-24",577.960022,18885349
"239","2016-08-25",579.369995,12329289
"240","2016-08-26",570.349976,10747219
"241","2016-08-27",574.97998,7377921
"242","2016-08-28",574.22998,13760854
"243","2016-08-29",577.320007,15895354
"244","2016-08-30",573.880005,14338795
"245","2016-08-31",571.98999,14860164
"246","2016-09-01",575.289978,15315755
"247","2016-09-02",598.840027,21055514
"248","2016-09-03",609.549988,18646011
"249","2016-09-04",605.76001,15369832
"250","2016-09-05",610.440002,14864563
"251","2016-09-06",613.210022,18429525
"252","2016-09-07",625.570007,22710390
"253","2016-09-08",623.159973,17710151
"254","2016-09-09",624.52002,9600113
"255","2016-09-10",605.609985,22467346
"256","2016-09-11",607.97998,17058938
"257","2016-09-12",608.609985,16850869
"258","2016-09-13",609.539978,14878860
"259","2016-09-14",608.109985,13892193
"260","2016-09-15",607.780029,13353736
"261","2016-09-16",607.080017,9724490
"262","2016-09-17",610.700012,10004923
"263","2016-09-18",609.849976,12981851
"264","2016-09-19",609.23999,13809380
"265","2016-09-20",597.159973,22059386
"266","2016-09-21",595.630005,13463966
"267","2016-09-22",602.919983,15567036
"268","2016-09-23",602.590027,8196210
